지역번호,지역명,일시,평균일강수량(mm),최다일강수량(mm),최다강수량지점,1시간최다강수량(mm),1시간최다강수량지점
1,서울경기,2018-03-23,0,,,,,
1,서울경기,2018-03-22,0,,,,,
1,서울경기,2018-03-21,1.4,2.2,인천,,,
1,서울경기,2018-03-20,0,,,,,
1,서울경기,2018-03-19,1.6,6,양평,이천,,,
1,서울경기,2018-03-18,1.1,2.8,백령도,,,
1,서울경기,2018-03-17,0,,,,,
1,서울경기,2018-03-16,0,,,,,
1,서울경기,2018-03-15,31.2,46.6,인천,,,
1,서울경기,2018-03-14,0,0,백령도,,,
1,서울경기,2018-03-13,0,0,백령도,,,
1,서울경기,2018-03-12,0,,,,,
1,서울경기,2018-03-11,0,,,,,
1,서울경기,2018-03-10,0,,,,,
1,서울경기,2018-03-09,0,,,,,
1,서울경기,2018-03-08,4.8,8.7,이천,,,
1,서울경기,2018-03-07,1.4,2.5,수원,,,
1,서울경기,2018-03-06,0,,,,,
1,서울경기,2018-03-05,5.4,14.6,이천,,,
1,서울경기,2018-03-04,13.5,19,백령도,,,
1,서울경기,2018-03-03,0,0.1,인천,,,
1,서울경기,2018-03-02,0,,,,,
1,서울경기,2018-03-01,1.3,2.9,수원,,,
1,서울경기,2018-02-28,23.8,29.5,양평,,,
1,서울경기,2018-02-27,0,0,백령도,,,
1,서울경기,2018-02-26,0,,,,,
1,서울경기,2018-02-25,0,,,,,
1,서울경기,2018-02-24,0,,,,,
1,서울경기,2018-02-23,2.9,7.3,동두천,,,
1,서울경기,2018-02-22,1.2,3,강화,,,
1,서울경기,2018-02-21,0,,,,,
1,서울경기,2018-02-20,0,0.1,수원,,,
1,서울경기,2018-02-19,0,,,,,
1,서울경기,2018-02-18,0,,,,,
1,서울경기,2018-02-17,0,,,,,
1,서울경기,2018-02-16,0,,,,,
1,서울경기,2018-02-15,0,,,,,
1,서울경기,2018-02-14,0,,,,,
1,서울경기,2018-02-13,0,0.1,양평,이천,,,
1,서울경기,2018-02-12,0.3,1,수원,,,
1,서울경기,2018-02-11,0.6,1.9,수원,,,
1,서울경기,2018-02-10,0,0,백령도,,,
1,서울경기,2018-02-09,0,,,,,
1,서울경기,2018-02-08,0,,,,,
1,서울경기,2018-02-07,0,,,,,
1,서울경기,2018-02-06,0,0,백령도,,,
1,서울경기,2018-02-05,0,0,백령도,,,
1,서울경기,2018-02-04,0,0,백령도,,,
1,서울경기,2018-02-03,0.4,0.9,동두천,,,
1,서울경기,2018-02-02,0,1.1,백령도,,,
1,서울경기,2018-02-01,0,,,,,
1,서울경기,2018-01-31,0,0,서울,인천,,,
1,서울경기,2018-01-30,1,2.9,서울,,,
1,서울경기,2018-01-29,0,2.3,백령도,,,
1,서울경기,2018-01-28,0,0,백령도,,,
1,서울경기,2018-01-27,0,,,,,
1,서울경기,2018-01-26,0,0,백령도,,,
1,서울경기,2018-01-25,0,0,백령도,,,
1,서울경기,2018-01-24,0,0.3,백령도,,,
1,서울경기,2018-01-23,0,0.8,백령도,,,
1,서울경기,2018-01-22,2.5,5.8,동두천,,,
1,서울경기,2018-01-21,0,,,,,
1,서울경기,2018-01-20,0,,,,,
1,서울경기,2018-01-19,0,,,,,
1,서울경기,2018-01-18,0,0,서울,,,
1,서울경기,2018-01-17,0.2,2.4,이천,,,
1,서울경기,2018-01-16,0,0.5,백령도,,,
1,서울경기,2018-01-15,0.4,1.4,파주,,,
1,서울경기,2018-01-14,0,0,파주,,,
1,서울경기,2018-01-13,0.5,0.7,인천,수원,,,
1,서울경기,2018-01-12,0,0.4,백령도,,,
1,서울경기,2018-01-11,0,0.5,백령도,,,
1,서울경기,2018-01-10,0.3,0.7,이천,,,
1,서울경기,2018-01-09,0.5,1.5,백령도,,,
1,서울경기,2018-01-08,1.1,2,수원,,,
1,서울경기,2018-01-07,0,,,,,
1,서울경기,2018-01-06,0,,,,,
1,서울경기,2018-01-05,0,,,,,
1,서울경기,2018-01-04,0,,,,,
1,서울경기,2018-01-03,0,0,백령도,,,
1,서울경기,2018-01-02,0,,,,,
