사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2019-11,6호선,2637,동묘앞,93,0,"4,861",866,"5,629","4,582","10,076","10,388","14,374","29,972","13,289","25,556","12,711","19,218","14,373","19,515","19,421","19,684","19,985","21,949","22,342","20,969","25,664","19,609","28,304","18,147","29,275","17,743","29,833","18,911","16,579","14,702","11,088","10,072","8,436","9,470","6,530","10,001","3,220","10,369",594,"2,876",0,37,0,0,0,0,2019-12-03 11:43:20
2019-11,6호선,2638,창신,31,0,"2,475",473,"5,251","2,130","15,991","5,775","21,040","8,355","9,949","4,537","6,252","4,091","5,218","3,601","5,589","3,825","5,243","4,449","4,692","4,230","5,608","4,427","6,584","5,765","5,819","6,861","5,714","9,718","3,867","8,566","3,818","5,546","2,541","5,496","1,768","5,972",858,"3,723",140,"1,277",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,6호선,2639,보문,7,0,"4,031","1,092","7,346","3,180","21,348","8,772","36,163","20,735","20,384","12,070","12,318","9,002","11,350","7,404","12,318","8,351","12,258","8,973","10,723","8,943","11,146","10,199","13,143","11,722","15,318","15,187","19,303","23,554","10,311","19,730","7,418","12,985","6,926","12,361","6,032","14,169","3,918","9,942",691,"3,540",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,6호선,2640,안암(고대병원앞),18,0,"2,339","1,732","3,547","8,315","9,144","17,928","14,486","59,735","13,324","42,180","15,370","47,109","18,810","27,771","21,054","21,937","22,812","30,404","23,135","20,340","33,935","20,839","44,974","19,896","51,859","23,967","50,405","32,479","29,850","23,752","25,675","15,606","31,074","14,455","29,940","15,426","18,625","12,523","3,650","5,368",0,249,0,0,0,0,2019-12-03 11:43:20
2019-11,6호선,2641,고려대(종암),17,1,"3,573",816,"7,061","5,326","22,258","11,828","32,401","36,209","18,685","18,749","13,173","20,547","13,757","13,486","15,214","13,161","16,834","16,106","14,441","13,590","18,398","14,040","23,838","14,854","28,911","19,336","28,764","27,817","14,972","23,699","11,639","13,649","15,486","14,138","12,669","13,902","5,547","11,476",887,"3,335",0,73,0,0,0,0,2019-12-03 11:43:20
2019-11,6호선,2642,월곡(동덕여대),25,0,"7,224","1,077","13,096","4,526","44,040","7,896","54,133","30,547","28,477","20,279","20,390","20,545","19,107","16,310","20,065","16,097","21,147","18,077","20,379","18,514","20,888","19,654","25,850","24,636","26,785","29,529","31,073","44,209","17,114","38,208","13,088","22,490","12,957","20,885","9,524","20,262","4,575","14,300",741,"4,016",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,6호선,2643,상월곡(한국과학기술연구원),13,0,"5,058",668,"8,371","2,791","26,041","3,867","30,809","18,315","17,030","10,749","11,356","12,371","10,514","8,745","10,885","7,923","11,562","8,553","9,901","8,698","9,539","9,170","12,909","11,809","12,805","13,554","13,240","20,235","7,874","19,014","4,682","11,205","6,199","10,301","3,530","11,317","1,551","7,896",288,"2,480",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,6호선,2644,돌곶이,15,0,"6,537",931,"12,587","4,462","33,661","6,428","42,389","18,176","22,235","11,812","15,306","9,450","13,400","9,017","14,583","11,285","14,302","12,252","12,811","12,173","13,577","13,773","14,189","16,852","16,443","20,984","16,724","30,744","11,638","27,423","6,928","16,171","6,529","13,891","5,180","14,878","2,922","9,667",601,"3,535",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,6호선,2645,석계,937,5,"8,847","2,447","20,052","6,001","54,670","8,891","65,520","18,051","36,325","12,445","24,315","12,445","21,487","13,266","22,418","15,705","21,407","17,303","18,386","18,779","17,652","21,915","19,702","28,825","21,527","36,984","20,287","53,968","13,741","53,328","10,316","31,478","9,546","28,146","8,580","26,820","5,421","18,839","1,031","6,204",0,13,0,0,0,0,2019-12-03 11:43:20
2019-11,6호선,2646,태릉입구,29,0,"4,382",914,"7,192","3,709","19,725","5,234","24,800","12,750","12,890","10,519","9,413","8,224","9,077","10,646","10,442","8,279","9,714","9,482","8,772","9,596","8,748","10,043","10,057","12,642","10,377","16,408","10,669","24,002","7,232","21,976","5,519","13,321","4,816","12,894","3,860","12,786","2,413","9,993",463,"4,925",0,3,0,0,0,0,2019-12-03 11:43:20
2019-11,6호선,2647,화랑대(서울여대입구),12,0,"6,201",800,"20,714","3,554","68,650","8,507","69,106","20,065","35,117","15,163","23,069","10,570","20,675","9,976","21,201","10,132","18,803","10,935","17,750","12,199","19,765","13,484","22,922","18,032","25,520","22,765","23,089","39,632","10,650","38,404","7,309","22,324","5,935","20,271","4,487","21,729","2,284","14,781",274,"5,087",0,100,0,0,0,0,2019-12-03 11:43:20
2019-11,6호선,2648,봉화산(서울의료원),40,2,"5,913","1,348","16,521","4,121","57,093","7,103","53,927","13,584","25,878","8,243","18,036","7,368","16,065","7,225","15,980","9,714","14,501","11,124","12,549","11,811","11,748","14,404","13,641","17,425","15,693","23,449","14,358","34,563","7,406","36,276","5,790","21,743","4,784","18,560","3,931","19,770","1,889","12,757",230,"4,636",1,522,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2711,장암,2,0,"1,557",114,"6,914","1,698","19,267","1,453","12,594","1,919","5,311","1,930","3,269","1,745","2,676","1,312","2,559","1,411","2,631","1,266","2,640","1,139","2,903","1,289","3,663","1,262","4,782","1,717","3,702","2,752","2,152","3,119","1,350","1,752",956,"1,176",610,"1,036",297,959,35,260,0,2,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2712,도봉산,27,0,"4,789",615,"16,868","5,676","58,690","7,259","45,963","18,565","25,018","21,846","14,850","20,747","13,322","14,898","14,338","13,799","14,036","13,929","13,570","13,885","15,139","15,561","19,463","18,440","17,895","23,224","14,081","35,881","7,020","43,777","4,059","27,758","3,479","24,162","2,726","24,337",958,"17,864",175,"7,375",5,"1,103",0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2713,수락산,30,0,"9,431",658,"22,129","6,065","56,579","9,035","55,450","18,442","34,590","18,686","24,083","17,275","21,372","15,585","22,579","16,450","22,947","16,325","21,508","16,699","21,017","20,162","21,562","25,521","22,397","31,389","22,386","44,387","14,050","49,827","9,208","30,325","7,688","25,999","5,551","24,461","2,814","18,033",363,"7,281",0,160,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2714,마들,23,1,"9,646","1,681","21,668","4,586","65,447","8,830","63,521","11,722","35,034","10,219","23,813","9,650","20,410","10,385","22,271","12,382","19,371","14,488","16,014","15,726","15,754","19,399","16,439","24,201","16,210","28,874","13,514","41,307","8,457","46,479","5,961","27,958","4,550","23,487","3,841","23,586","1,732","16,861",254,"6,026",1,0,0,1,0,0,2019-12-03 11:43:20
2019-11,7호선,2715,노원,30,0,"8,589","2,257","15,755","8,046","40,743","17,179","43,978","46,228","30,843","48,423","30,184","36,105","33,269","32,430","36,814","36,464","38,339","41,798","38,429","42,787","44,267","44,297","47,807","47,248","48,659","54,223","51,276","70,389","35,384","63,207","34,909","31,442","28,240","25,160","27,406","21,784","12,010","16,518","2,171","5,823",0,113,1,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2716,중계,32,2,"9,508","2,282","23,841","6,403","70,190","19,020","74,692","33,315","42,125","21,142","28,999","16,283","25,741","16,085","25,317","16,374","27,864","19,198","22,288","18,659","25,054","20,988","26,898","25,979","27,224","34,236","23,444","50,706","13,475","51,888","9,935","30,585","11,822","27,922","9,740","26,885","4,928","17,648","1,126","6,174",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2717,하계,14,0,"8,080","1,542","24,653","6,971","77,859","19,112","85,292","31,702","48,094","26,700","33,603","21,191","31,861","21,166","34,312","26,340","33,298","30,988","32,115","28,794","33,400","32,232","40,044","36,214","40,637","44,246","34,485","64,823","20,893","65,439","15,871","38,023","14,900","34,157","13,309","32,404","4,945","22,996",791,"7,934",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2718,공릉(서울과학기술대),26,0,"6,629","1,443","14,428","5,354","41,295","13,881","49,014","33,822","28,398","21,061","20,627","16,412","19,675","13,498","24,461","17,809","22,641","20,693","21,449","17,988","21,442","19,857","27,380","24,072","32,066","29,462","30,993","44,365","17,700","43,095","14,260","25,632","12,920","22,438","11,097","22,051","6,590","16,890","1,356","6,392",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2719,태릉입구,98,0,"7,307","1,642","7,798","5,848","22,437","10,177","28,780","26,029","18,982","17,644","13,492","12,355","12,677","15,252","15,936","11,369","15,272","12,771","15,662","12,482","18,307","12,499","20,659","15,136","24,083","17,773","27,012","24,204","14,961","23,138","10,633","14,659","10,385","14,027","8,143","14,001","3,942","9,718",787,"4,235",6,"1,324",2,2,0,0,2019-12-03 11:43:20
2019-11,7호선,2720,먹골,32,0,"7,558",711,"13,401","3,665","40,827","5,641","50,947","16,046","29,172","11,667","18,741","10,291","15,934","10,466","18,356","13,182","17,391","14,605","15,387","14,093","15,579","17,106","16,829","21,512","17,844","26,709","18,891","39,297","11,537","38,957","7,976","21,652","7,471","20,280","5,647","20,045","2,624","13,130",583,"4,400",0,103,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2721,중화,0,0,"9,173",989,"15,638","4,712","40,886","9,020","56,127","25,397","31,790","13,423","19,649","10,827","17,135","10,537","18,386","12,236","17,813","14,230","15,387","15,002","15,643","18,102","17,380","21,693","20,039","27,742","22,158","39,617","14,101","39,754","9,326","23,291","8,531","22,119","6,715","21,654","3,330","14,190",600,"4,615",1,32,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2722,상봉(시외버스터미널),354,13,"11,914","1,774","19,170","9,258","55,921","15,135","77,754","37,292","41,181","23,336","25,079","17,131","22,149","17,342","24,381","19,989","25,175","22,276","23,411","22,995","24,099","25,500","28,492","31,019","36,318","40,075","39,917","61,524","27,761","60,340","19,932","32,675","19,785","30,020","16,692","27,929","8,277","19,939","1,588","8,908",0,23,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2723,면목,28,0,"12,655","1,332","24,505","5,893","62,609","9,653","84,020","35,049","45,843","22,094","27,792","17,168","24,021","14,768","25,740","19,063","24,381","21,231","22,327","20,780","24,107","25,650","28,519","33,302","27,401","41,865","25,812","58,232","19,418","56,314","13,382","32,666","11,215","30,884","9,546","28,706","4,050","18,811",660,"6,488",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2724,사가정,43,1,"11,275","1,872","20,934","10,221","54,110","12,287","72,416","29,132","44,403","17,973","28,235","15,635","24,320","16,128","26,251","18,076","25,247","19,805","22,757","21,256","22,104","26,668","24,877","32,582","28,315","40,661","28,076","60,114","20,548","55,938","14,301","32,762","12,474","29,945","10,151","28,506","5,172","16,891",942,"6,313",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2725,용마산,4,0,"5,134",820,"10,504","3,295","26,716","4,329","34,092","10,186","19,601","7,209","11,494","6,134","9,106","5,352","10,073","6,552","8,415","7,579","7,527","7,693","8,023","9,446","9,209","11,584","9,859","14,459","8,568","21,573","5,706","21,069","3,437","12,791","2,857","11,969","2,065","12,615","1,021","7,900",220,"3,031",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2726,중곡,1,0,"5,803",597,"12,588","6,649","34,914","12,016","52,945","21,479","30,761","12,781","18,282","10,505","17,480","9,699","17,338","11,108","16,510","12,187","14,480","12,650","14,575","15,412","21,177","18,335","20,836","23,564","16,922","34,089","11,854","31,853","7,461","19,034","6,372","17,523","5,386","17,503","2,295","11,514",409,"3,438",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2727,군자(능동),39,2,"8,987",813,"14,435","7,618","37,173","9,011","63,771","27,838","41,047","19,522","22,997","12,471","19,845","11,201","20,374","12,259","21,267","13,801","19,920","15,287","19,962","19,148","23,560","21,096","27,945","27,776","36,904","41,444","23,330","37,024","18,048","21,865","17,224","19,984","15,560","18,988","7,735","12,449","1,500","4,377",1,51,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2728,어린이대공원(세종대),10,0,"4,180","1,314","7,244","10,238","19,161","15,245","35,054","66,962","24,190","44,633","15,928","51,602","18,187","36,415","25,438","29,783","25,786","38,976","29,738","29,752","35,152","23,726","46,228","22,724","62,642","26,170","50,021","35,036","27,387","26,460","23,604","16,771","27,046","15,755","25,068","15,878","14,199","11,886","2,909","4,352",1,91,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2729,건대입구,39,0,"4,458",918,"5,177","8,465","13,714","20,150","23,718","47,197","18,307","38,875","15,515","31,718","19,132","28,899","21,856","30,953","23,679","33,418","28,035","31,421","34,935","29,437","40,297","30,908","51,981","39,468","47,291","58,823","35,657","41,685","38,881","21,235","36,483","17,000","32,649","14,762","17,558","9,003","2,916","4,881",0,391,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2730,뚝섬유원지,16,0,"5,092",570,"8,740","4,283","22,323","6,984","34,384","15,725","23,529","8,940","13,346","7,159","11,607","7,973","11,235","9,145","11,546","10,927","10,397","12,080","11,178","14,618","13,279","16,230","15,597","21,091","15,233","27,934","10,391","22,435","8,578","13,964","8,515","13,639","6,459","12,834","2,921","7,512",394,"2,321",0,7,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2731,청담,41,1,"3,296","4,444","7,690","28,570","13,189","62,362","20,378","168,973","17,176","108,591","15,121","42,863","18,709","29,949","21,138","25,241","23,459","28,806","26,123","25,310","35,813","23,307","43,815","24,488","65,239","27,130","118,867","29,159","69,494","20,893","39,701","13,104","36,422","12,347","29,362","9,292","9,639","5,871","1,368","3,879",0,1,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2732,강남구청,14,0,"1,895","1,622","4,149","11,940","7,843","30,979","11,421","114,278","10,294","101,559","10,346","39,124","12,364","26,766","15,304","23,307","18,819","24,407","22,476","21,787","28,547","20,075","29,874","20,409","43,250","21,558","91,392","23,733","55,399","16,305","35,462","9,962","34,535","8,442","27,396","6,393","11,742","4,606","1,931","2,184",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2733,학동,7,0,"3,493","1,709","5,549","22,429","10,095","49,306","14,375","191,770","12,664","144,176","11,942","52,691","15,484","34,215","19,745","28,355","24,978","30,584","30,216","26,238","36,654","22,850","43,837","23,143","65,356","25,412","169,171","25,606","83,119","16,802","42,566","10,393","40,182","8,739","29,705","7,397","12,288","5,845","2,127","2,307",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2734,논현,34,0,"3,833","1,458","5,609","15,995","10,043","44,248","18,049","126,540","16,407","106,494","13,938","42,751","15,764","26,474","18,222","24,459","20,760","27,753","23,372","25,793","28,694","24,592","33,010","26,026","52,536","32,917","110,269","44,139","65,189","29,553","41,517","15,673","45,255","12,451","41,360","10,269","21,722","6,457","4,272","2,567",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2735,반포,8,0,"1,179",667,"3,634","6,637","10,440","13,069","15,813","25,659","10,905","20,303","7,977","10,716","7,618","11,269","8,947","12,554","10,234","11,224","10,238","10,242","12,698","10,551","16,318","10,948","18,518","12,560","21,627","14,378","14,369","10,407","10,914","6,256","12,518","5,677","10,749","5,639","3,003","3,221",521,"1,100",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2736,고속터미널,33,1,"1,902","2,785","3,466","23,450","11,628","40,419","23,242","65,328","29,411","50,675","30,121","36,945","33,458","35,241","36,031","33,010","37,883","36,138","37,226","34,333","45,001","29,053","50,586","30,274","64,967","33,172","68,983","37,763","49,559","24,227","51,385","13,370","48,568","11,626","38,864","7,213","15,538","4,493","1,396","1,243",0,9,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2737,내방,14,0,"2,324","1,665","7,365","11,875","18,889","22,913","32,548","86,893","23,370","47,662","16,249","22,663","16,873","16,141","18,123","16,744","20,645","19,437","20,281","18,843","22,071","18,714","26,972","20,673","37,827","24,703","74,404","34,059","28,925","24,797","20,127","14,930","21,082","13,021","15,492","12,124","6,019","7,655",953,"3,652",1,271,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2738,이수,38,0,"6,116","1,251","10,163","10,171","28,690","14,737","51,957","47,239","32,880","35,941","23,355","23,368","21,960","21,330","24,315","22,089","26,738","24,708","26,521","24,574","28,152","27,213","30,530","31,686","35,768","40,901","49,429","64,403","29,149","47,216","27,487","26,350","29,671","22,744","28,516","20,179","16,690","12,032","3,077","4,049",0,57,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2739,남성,5,0,"6,685",747,"12,445","4,959","42,186","7,000","65,893","17,972","36,534","14,801","21,737","12,669","18,743","12,691","18,572","13,624","18,838","15,115","16,631","15,236","16,416","18,371","17,052","22,026","18,163","28,283","19,244","42,811","11,283","36,609","9,696","22,126","10,174","21,334","7,677","19,269","3,792","12,920",753,"4,383",0,1,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2740,숭실대입구(살피재),53,0,"6,474",949,"13,111","5,880","43,294","12,441","63,742","41,790","37,000","28,717","24,629","37,727","25,763","27,494","23,218","20,618","25,198","25,153","26,205","24,748","25,502","23,806","38,562","27,548","40,161","34,218","34,046","53,923","22,153","44,963","18,598","27,151","21,212","25,094","16,310","25,122","9,877","17,607","1,994","5,852",0,1,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2741,상도,0,0,"4,745","3,598","11,558","8,692","35,940","8,643","50,683","32,638","31,116","20,608","19,442","22,947","18,251","17,048","21,516","18,540","19,163","16,750","18,754","17,832","20,606","17,649","28,403","20,020","27,873","26,555","27,759","42,865","14,939","33,281","12,356","20,769","14,215","19,508","11,949","20,200","6,667","14,008","1,449","4,562",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2742,장승배기,5,0,"7,530","1,054","12,583","4,496","33,603","8,988","52,515","20,745","32,080","15,005","19,011","11,840","17,221","11,614","17,351","13,827","18,024","14,870","15,820","15,796","16,109","18,549","16,556","20,802","18,131","25,905","20,048","39,454","11,305","32,673","8,852","19,419","8,788","18,743","8,415","17,864","3,634","11,233",677,"4,386",0,1,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2743,신대방삼거리,34,1,"10,888","1,572","18,208","7,495","54,902","14,338","91,772","37,846","50,041","23,219","29,066","17,223","25,536","15,808","27,173","17,029","25,146","20,039","23,205","20,987","22,438","25,627","25,711","28,618","28,869","38,115","35,152","63,307","19,102","54,031","14,952","33,312","12,730","31,364","10,677","29,642","5,249","19,191",928,"7,022",0,17,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2744,보라매,30,0,"6,186","2,210","7,419","9,012","21,753","20,066","34,522","47,340","20,429","17,540","13,429","11,090","13,023","10,241","15,490","11,838","14,407","12,977","14,962","11,987","15,680","12,299","21,749","14,132","23,050","19,112","36,509","29,484","14,427","23,825","10,621","13,668","9,839","12,899","7,954","12,523","3,322","7,947",477,"2,854",0,152,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2745,신풍,42,1,"11,948","2,174","15,393","10,953","38,945","12,310","53,732","23,385","32,307","16,318","19,149","13,435","16,834","12,839","18,621","12,861","18,675","13,924","16,819","14,072","16,785","17,363","20,001","20,864","23,386","29,649","23,326","41,699","13,513","32,612","9,467","19,922","8,648","20,978","6,782","19,547","2,998","11,902",518,"3,477",2,690,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2746,대림(구로구청),68,0,"14,606","1,155","10,178","4,626","16,737","7,467","25,056","20,568","19,447","16,674","14,541","17,780","13,990","19,919","16,560","17,501","18,433","18,048","19,235","17,172","20,119","18,604","22,342","20,082","22,980","29,464","24,782","31,985","16,439","21,912","13,591","14,351","11,418","16,328","8,609","14,273","5,136","7,482",631,"1,771",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2747,남구로,16,0,"24,217","1,839","18,218","6,871","33,947","25,953","41,388","108,652","28,580","50,771","19,007","21,312","17,050","17,646","17,518","17,382","18,194","18,399","17,178","17,753","18,200","20,391","21,863","25,023","35,857","44,870","84,172","41,232","39,409","28,149","22,469","18,807","16,652","21,278","11,070","20,070","5,352","10,739",774,"3,055",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2748,가산디지털단지,865,7,"9,504","5,520","9,101","22,250","21,158","98,773","25,150","409,257","20,541","219,364","19,334","59,525","24,606","43,677","31,316","42,120","38,509","44,105","43,890","41,183","54,149","37,972","69,849","35,357","164,442","38,506","336,477","42,096","149,707","31,897","82,517","16,629","75,324","13,694","38,888","12,693","16,940","8,758","2,223","3,180",4,3,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2749,철산,23,0,"11,734","4,381","29,603","10,387","96,933","16,382","111,288","34,188","59,507","29,757","38,175","22,625","34,152","22,552","36,045","26,259","33,434","29,782","30,306","32,393","30,900","36,596","34,502","45,823","40,392","65,300","43,577","104,684","26,673","96,003","22,886","51,317","23,600","43,946","20,684","42,416","9,877","27,921","1,697","9,117",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2750,광명사거리,158,3,"26,056","5,747","35,685","14,114","97,362","18,178","124,714","30,372","66,813","27,252","42,158","24,448","37,923","27,191","39,161","31,081","39,412","34,466","35,629","35,832","35,205","42,499","39,718","52,251","44,246","65,909","41,052","102,964","27,948","88,074","21,137","49,764","17,769","45,424","12,680","42,088","5,942","27,666",898,"7,883",0,13,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2751,천왕,19,0,"7,644","1,003","14,862","4,805","47,648","7,056","59,182","14,212","30,906","8,802","17,271","6,941","14,394","7,500","14,578","9,881","14,744","11,182","12,633","12,018","12,419","14,185","15,407","17,948","15,076","22,113","13,812","38,174","8,326","37,350","5,506","21,111","4,462","18,920","3,604","17,001","1,440","11,755",276,"3,835",0,118,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2752,온수(성공회대입구),78,1,"8,219","1,238","16,421","5,133","50,741","14,176","63,396","24,015","28,453","18,764","15,797","9,259","13,970","8,742","15,039","10,321","14,370","12,466","12,577","12,084","14,253","13,338","20,319","16,674","22,186","23,585","17,685","42,546","8,790","39,183","6,827","22,381","6,634","21,345","4,645","17,909","2,341","12,209",531,"6,590",0,"1,077",0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2753,까치울,3,0,"3,974",869,"10,566","3,977","32,769","5,357","43,658","10,972","21,839","6,638","11,905","5,841","11,018","7,227","10,973","7,913","11,063","8,981","9,810","9,200","9,859","9,884","11,272","13,974","12,137","19,442","12,081","31,005","7,592","27,644","5,566","16,298","4,651","15,910","3,507","14,606","1,519","8,687",180,"2,226",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2754,부천종합운동장,16,0,"3,776","1,129","6,760","3,234","21,208","5,686","25,918","12,134","12,783","5,214","7,363","4,087","6,637","3,220","6,774","3,680","6,211","4,553","5,278","4,767","6,094","5,464","6,991","6,386","9,219","9,112","12,050","14,535","5,402","13,589","3,344","8,038","2,779","7,631","1,819","6,907",820,"4,670",122,"1,826",1,1,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2755,춘의,3,0,"5,192","1,502","9,978","5,385","25,827","26,765","27,931","53,836","16,531","17,359","11,038","8,617","9,902","7,095","10,979","7,165","10,927","8,948","9,943","8,332","10,535","9,532","12,461","10,997","26,186","14,701","44,061","21,232","16,909","20,688","11,772","12,932","9,174","12,054","5,092","10,390","2,003","7,276",266,"2,639",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2756,신중동,7,0,"6,041","1,383","17,425","5,525","50,752","14,311","50,060","46,078","27,600","31,569","20,611","17,128","20,311","15,054","20,721","17,238","20,943","19,315","20,039","18,655","22,223","21,141","23,936","24,897","30,828","32,398","45,615","50,793","21,185","51,050","22,232","25,380","15,549","21,212","12,914","20,075","6,017","15,219","1,072","5,778",0,2,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2757,부천시청,21,1,"5,572","2,502","15,904","8,082","46,350","14,603","44,615","29,050","23,169","20,963","16,429","13,500","16,310","14,219","18,023","16,204","18,201","18,242","17,634","19,285","20,149","20,912","23,427","24,232","28,035","29,009","30,194","48,721","20,384","44,573","20,390","23,977","16,538","18,150","12,787","16,101","5,354","12,370",822,"4,233",0,24,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2758,상동,12,0,"5,030","2,184","16,047","6,382","46,291","12,508","43,256","31,334","24,944","29,506","18,271","20,846","18,027","21,983","21,123","23,106","22,597","24,748","22,972","25,458","25,223","25,697","28,256","27,896","31,234","35,813","36,004","53,450","23,217","47,418","20,152","26,168","21,641","20,499","20,529","17,549","8,235","14,021","1,369","4,505",2,224,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2759,삼산체육관,8,0,"3,071",358,"10,207","1,818","27,274","3,129","26,748","7,759","14,666","4,739","8,896","4,347","8,534","4,161","8,906","5,572","8,069","6,416","7,042","7,446","7,668","7,423","8,838","9,544","8,666","12,644","7,387","20,053","4,101","18,407","3,250","11,054","3,199","10,113","1,949","9,193",941,"7,204",202,"2,211",0,458,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2760,굴포천,4,0,"7,340",534,"15,704","3,659","40,564","5,599","42,549","12,223","24,096","11,268","14,919","8,399","14,048","8,486","15,283","9,924","13,849","11,418","12,346","12,550","12,343","13,697","13,535","18,422","15,231","25,634","16,560","41,093","9,235","42,275","7,333","24,261","7,388","19,909","5,929","19,036","3,355","12,644",434,"4,439",0,790,0,0,0,0,2019-12-03 11:43:20
2019-11,7호선,2761,부평구청,64,0,"9,304","1,115","22,882","5,884","70,984","12,387","58,979","13,814","31,325","8,272","19,159","6,082","16,864","7,162","17,050","7,907","14,932","10,064","12,770","11,095","12,945","12,789","14,306","16,021","21,423","21,884","18,501","37,279","10,754","42,204","7,835","26,129","7,018","21,506","5,460","20,777","2,330","14,290",283,"5,242",0,"1,581",0,0,0,0,2019-12-03 11:43:20
2019-11,8호선,2811,암사,10,0,"14,528",879,"24,786","6,754","84,777","9,091","115,065","19,640","57,954","15,019","33,044","12,095","27,705","13,391","27,438","17,290","26,914","19,584","23,114","22,211","21,435","28,612","23,192","33,770","25,690","44,937","26,043","72,284","15,494","62,743","11,141","37,055","9,646","35,683","6,582","32,482","2,878","21,081",655,"5,392",1,927,0,0,0,0,2019-12-03 11:43:20
2019-11,8호선,2812,천호(풍납토성),77,0,"11,885","1,764","18,944","11,425","50,496","19,314","72,453","34,046","44,166","31,900","26,384","23,617","24,396","23,263","26,687","25,468","27,891","30,024","25,663","30,448","27,105","36,763","29,421","42,001","36,352","55,897","43,014","83,483","27,377","66,506","23,138","36,643","18,138","33,776","15,425","29,515","7,498","18,517","1,599","6,248",0,319,0,0,0,0,2019-12-03 11:43:20
